"tp","fp","method"
0.345148755390773,0.00241730381905063,"NS"
0.329362247214785,0.00211886567476866,"NS"
0.315479917567164,0.0018564694522629,"NS"
0.299382325130537,0.00166417032394559,"NS"
0.280728539359053,0.00150657819893936,"NS"
0.262723350396874,0.00129681969531069,"NS"
0.24487594142341,0.0010683393912609,"NS"
0.230383197334215,0.000963142639996589,"NS"
0.220070871893686,0.00084052188708216,"NS"
0.203932651896142,0.000717589967740522,"NS"
0.192325623341462,0.000524077080488561,"NS"
0.179934883051775,0.000437245660185261,"NS"
0.169734331105966,0.00036691619860618,"NS"
0.159289870266246,0.000244527542669336,"NS"
0.149705997756947,0.000192058287356542,"NS"
0.1385821018773,0.000139538626251442,"NS"
0.130122644557939,0.000122068325762274,"NS"
0.120928414965932,0.000104598025273105,"NS"
0.114857164479122,8.70418454978244e-05,"NS"
0.107776185405037,5.23706722898751e-05,"NS"
0.100911644716154,3.4774332328587e-05,"NS"
0.0936008225072247,1.74703004891684e-05,"NS"
0.0841419137473379,1.74703004891684e-05,"NS"
0.0809614716252886,0,"NS"
0.0743677282976639,0,"NS"
0.0703851072720052,0,"NS"
0.062518975957332,0,"NS"
0.0576981666484481,0,"NS"
0.0521053066247137,0,"NS"
0.0468399654278175,0,"NS"
0.0458285568212688,0,"NS"
0.0410448715895469,0,"NS"
0.0363772808523584,0,"NS"
0.0305464348575976,0,"NS"
0.0260522403911658,0,"NS"
0.0224117980082682,0,"NS"
0.0194942558010213,0,"NS"
0.0160731900876271,0,"NS"
0.013439952457931,0,"NS"
0.0108146679347576,0,"NS"
0.0089687563705982,0,"NS"
0.00630117755877444,0,"NS"
0.0052684631894844,0,"NS"
0.00397342098136349,0,"NS"
0.00211229485570584,0,"NS"
0.00183832225296612,0,"NS"
0.00102453760098038,0,"NS"
0.000515631748563075,0,"NS"
0.00026246719160105,0,"NS"
0.00026246719160105,0,"NS"
0.00026246719160105,0,"NS"
0.00026246719160105,0,"NS"
0,0,"NS"
0,0,"NS"
0,0,"NS"
0,0,"NS"
0,0,"NS"
0,0,"NS"
0,0,"NS"
0,0,"NS"
0,0,"NS"
1,1,"USVT"
0.996437012867677,0.457174204415859,"USVT"
0.922771881625567,0.275437001107197,"USVT"
0.876503485284566,0.222984908899161,"USVT"
0.847156775903309,0.19004981570264,"USVT"
0.829039969229743,0.165076081728816,"USVT"
0.810802071667069,0.146621816463449,"USVT"
0.794737858600661,0.131168857781932,"USVT"
0.780102035034964,0.118304849934969,"USVT"
0.766355391000235,0.107174558996835,"USVT"
0.754763581135414,0.0977056043950109,"USVT"
0.744815241176583,0.0898991523028488,"USVT"
0.734046856447372,0.0830153188146274,"USVT"
0.721465204427037,0.0773968645873359,"USVT"
0.711723349489848,0.0716018981631944,"USVT"
0.701163785099229,0.065924489730434,"USVT"
0.694583788755904,0.0610231144482987,"USVT"
0.687147934757587,0.0568572679637384,"USVT"
0.680067834565491,0.0526213777563052,"USVT"
0.671637952446145,0.0490156027163246,"USVT"
0.663223814412408,0.0452361599306355,"USVT"
0.657171581424389,0.0417152489151773,"USVT"
0.647942074043966,0.0390371255090961,"USVT"
0.639810175539121,0.0366362303901293,"USVT"
0.632946358437845,0.0343067598876512,"USVT"
